metadata;file;mappings;datatype
asset:ew2:hv:measurement:checksum;manifest.safe;//dataObject[starts-with(@ID, 's1aew2slchv')]/byteStream/checksum/text();String
asset:ew2:vv:measurement:size;manifest.safe;//dataObject[starts-with(@ID, 's1aew2slcvv')]/byteStream/@size;Int64
asset:ew2:vh:measurement:size;manifest.safe;//dataObject[starts-with(@ID, 's1aew2slcvh')]/byteStream/@size;Int64
asset:ew2:hh:measurement:size;manifest.safe;//dataObject[starts-with(@ID, 's1aew2slchh')]/byteStream/@size;Int64
asset:ew2:hv:measurement:size;manifest.safe;//dataObject[starts-with(@ID, 's1aew2slchv')]/byteStream/@size;Int64
azimuthAngle:ew2:vh;annotation/s1*ew2*vh*.xml;//product/generalAnnotation/productInformation/platformHeading/text();Double
incidenceAngleMid:ew2:vh;annotation/s1*ew2*vh*.xml;//product/imageAnnotation/imageInformation/incidenceAngleMidSwath/text();Double
rangePixelSpacing:ew2:vh;annotation/s1*ew2*vh*.xml;//product/imageAnnotation/imageInformation/rangePixelSpacing/text();Double
azimuthPixelSpacing:ew2:vh;annotation/s1*ew2*vh*.xml;//product/imageAnnotation/imageInformation/azimuthPixelSpacing/text();Double
ascendingNodeTime:ew2:vh;annotation/s1*ew2*vh*.xml;//product/imageAnnotation/imageInformation/ascendingNodeTime/text();DateTimeOffset
shape1:ew2:vh;annotation/s1*ew2*vh*.xml;//product/imageAnnotation/imageInformation/numberOfSamples/text();Int64
shape2:ew2:vh;annotation/s1*ew2*vh*.xml;//product/imageAnnotation/imageInformation/numberOfLines/text();Int64
looksRange:ew2:vh;annotation/s1*ew2*vh*.xml;//rangeProcessing/numberOfLooks/text();Int64
looksAzimuth:ew2:vh;annotation/s1*ew2*vh*.xml;//azimuthProcessing/numberOfLooks/text();Int64
azimuthAngle:ew2:vv;annotation/s1*ew2*vv*.xml;//product/generalAnnotation/productInformation/platformHeading/text();Double
incidenceAngleMid:ew2:vv;annotation/s1*ew2*vv*.xml;//product/imageAnnotation/imageInformation/incidenceAngleMidSwath/text();Double
rangePixelSpacing:ew2:vv;annotation/s1*ew2*vv*.xml;//product/imageAnnotation/imageInformation/rangePixelSpacing/text();Double
azimuthPixelSpacing:ew2:vv;annotation/s1*ew2*vv*.xml;//product/imageAnnotation/imageInformation/azimuthPixelSpacing/text();Double
ascendingNodeTime:ew2:vv;annotation/s1*ew2*vv*.xml;//product/imageAnnotation/imageInformation/ascendingNodeTime/text();DateTimeOffset
shape1:ew2:vv;annotation/s1*ew2*vv*.xml;//product/imageAnnotation/imageInformation/numberOfSamples/text();Int64
shape2:ew2:vv;annotation/s1*ew2*vv*.xml;//product/imageAnnotation/imageInformation/numberOfLines/text();Int64
looksRange:ew2:vv;annotation/s1*ew2*vv*.xml;//rangeProcessing/numberOfLooks/text();Int64
looksAzimuth:ew2:vv;annotation/s1*ew2*vv*.xml;//azimuthProcessing/numberOfLooks/text();Int64
azimuthAngle:ew2:hh;annotation/s1*ew2*hh*.xml;//product/generalAnnotation/productInformation/platformHeading/text();Double
incidenceAngleMid:ew2:hh;annotation/s1*ew2*hh*.xml;//product/imageAnnotation/imageInformation/incidenceAngleMidSwath/text();Double
rangePixelSpacing:ew2:hh;annotation/s1*ew2*hh*.xml;//product/imageAnnotation/imageInformation/rangePixelSpacing/text();Double
azimuthPixelSpacing:ew2:hh;annotation/s1*ew2*hh*.xml;//product/imageAnnotation/imageInformation/azimuthPixelSpacing/text();Double
ascendingNodeTime:ew2:hh;annotation/s1*ew2*hh*.xml;//product/imageAnnotation/imageInformation/ascendingNodeTime/text();DateTimeOffset
shape1:ew2:hh;annotation/s1*ew2*hh*.xml;//product/imageAnnotation/imageInformation/numberOfSamples/text();Int64
shape2:ew2:hh;annotation/s1*ew2*hh*.xml;//product/imageAnnotation/imageInformation/numberOfLines/text();Int64
looksRange:ew2:hh;annotation/s1*ew2*hh*.xml;//rangeProcessing/numberOfLooks/text();Int64
looksAzimuth:ew2:hh;annotation/s1*ew2*hh*.xml;//azimuthProcessing/numberOfLooks/text();Int64
azimuthAngle:ew2:hv;annotation/s1*ew2*hv*.xml;//product/generalAnnotation/productInformation/platformHeading/text();Double
incidenceAngleMid:ew2:hv;annotation/s1*ew2*hv*.xml;//product/imageAnnotation/imageInformation/incidenceAngleMidSwath/text();Double
rangePixelSpacing:ew2:hv;annotation/s1*ew2*hv*.xml;//product/imageAnnotation/imageInformation/rangePixelSpacing/text();Double
azimuthPixelSpacing:ew2:hv;annotation/s1*ew2*hv*.xml;//product/imageAnnotation/imageInformation/azimuthPixelSpacing/text();Double
ascendingNodeTime:ew2:hv;annotation/s1*ew2*hv*.xml;//product/imageAnnotation/imageInformation/ascendingNodeTime/text();DateTimeOffset
shape1:ew2:hv;annotation/s1*ew2*hv*.xml;//product/imageAnnotation/imageInformation/numberOfSamples/text();Int64
shape2:ew2:hv;annotation/s1*ew2*hv*.xml;//product/imageAnnotation/imageInformation/numberOfLines/text();Int64
looksRange:ew2:hv;annotation/s1*ew2*hv*.xml;//rangeProcessing/numberOfLooks/text();Int64
looksAzimuth:ew2:hv;annotation/s1*ew2*hv*.xml;//azimuthProcessing/numberOfLooks/text();Int64
asset:ew3:vh:product;manifest.safe;//dataObject[starts-with(@ID, 'products1aew3slcvh')]/byteStream/fileLocation/@href;String
asset:ew3:vh:noises;manifest.safe;//dataObject[starts-with(@ID, 'noises1aew3slcvh')]/byteStream/fileLocation/@href;String
asset:ew3:vh:rfis;manifest.safe;//dataObject[starts-with(@ID, 'rfis1aew3slcvh')]/byteStream/fileLocation/@href;String
asset:ew3:vh:calibration;manifest.safe;//dataObject[starts-with(@ID, 'calibrations1aew3slcvh')]/byteStream/fileLocation/@href;String
asset:ew3:vv:product;manifest.safe;//dataObject[starts-with(@ID, 'products1aew3slcvv')]/byteStream/fileLocation/@href;String
