metadata;file;mappings;datatype
measureDesc2;DIM*.xml;//Radiometric_Data/Radiometric_Calibration/Band_Spectral_Range[2]/MEASURE_DESC/text();String
measureUnit2;DIM*.xml;//Radiometric_Data/Radiometric_Calibration/Band_Spectral_Range[2]/MEASURE_UNIT/text();String

measureDesc3;DIM*.xml;//Radiometric_Data/Radiometric_Calibration/Band_Spectral_Range[3]/MEASURE_DESC/text();String
measureUnit3;DIM*.xml;//Radiometric_Data/Radiometric_Calibration/Band_Spectral_Range[3]/MEASURE_UNIT/text();String

measureDesc4;DIM*.xml;//Radiometric_Data/Radiometric_Calibration/Band_Spectral_Range[4]/MEASURE_DESC/text();String
measureUnit4;DIM*.xml;//Radiometric_Data/Radiometric_Calibration/Band_Spectral_Range[4]/MEASURE_UNIT/text();String
productionDate;DIM*.xml;//Dataset_Identification/PRODUCTION_DATE/text();DateTime

identifier;INSPIRE.xml;//gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:identifier/gmd:RS_Identifier/gmd:code/gco:CharacterString;String

