metadata;file;mappings;datatype
raster:bands:nodata;MTD_MSIL*.xml;//Special_Values/SPECIAL_VALUE_INDEX/text();Int64
epsg;GRANULE/*/MTD_TL.xml;substring(//Tile_Geocoding/HORIZONTAL_CS_CODE/text(), 6, 6);Int64
mgrs:utm_zone;MTD_MSIL*.xml;substring(//PRODUCT_URI/text(),40,2);Int64
mgrs:latitude_band;MTD_MSIL*.xml;substring(//PRODUCT_URI/text(),42,1);String
mgrs:grid_square;MTD_MSIL*.xml;substring(//PRODUCT_URI/text(),43,2);String
grid:code;MTD_MSIL*.xml;concat('MGRS-',substring(//PRODUCT_URI/text(),40,5));String
asset:B12:eo:incidence_angle;MTD_MSIL*.xml;//Spectral_Information[@bandId='12']/Wavelength/MAX/text();Double
s2:degraded_msi_data_percentage;GRANULE/*/MTD_TL.xml;//Image_Content_QI/DEGRADED_MSI_DATA_PERCENTAGE/text();Double
MTD_TL;manifest.safe;substring-after(//dataObject[@ID="S2_Level-1C_Tile1_Metadata"]/byteStream/fileLocation/@href, '.');String
MTD_DS;manifest.safe;substring-after(//dataObject[@ID="S2_Level-1C_Datastrip1_Metadata"]/byteStream/fileLocation/@href, '.');String
